SNo,ScripCode,NameOfCompany
1,500325,Reliance Industries Ltd
2,532540,Tata Consultancy Services Ltd.
3,500180,HDFC Bank Ltd.
4,532174,ICICI Bank Ltd.
5,500209,Infosys Ltd
6,532454,Bharti Airtel  Ltd.
7,500112,"State Bank Of India,"
8,500696,"Hindustan Unilever Ltd.,"
9,543526,LIFE INSURANCE CORPORATION OF INDIA
10,500875,ITC Ltd
11,500510,Larsen & Toubro Limited
12,500034,Bajaj Finance Limited
13,532281,HCL Technologies Ltd
14,500247,Kotak Mahindra Bank Ltd.
15,532500,Maruti Suzuki India  Ltd.
16,524715,Sun Pharmaceutical Industries Ltd.
17,512599,Adani Enterprises Ltd.
18,532215,AXIS Bank Ltd.
19,500114,Titan Company Limited
20,532555,NTPC Limited
21,500312,Oil And Natural Gas Corporation Ltd
22,500820,Asian Paints Ltd.
23,500570,Tata Motors Ltd.
24,532538,UltraTech Cement Ltd
25,540376,Avenue Supermarts Limited
26,532978,Bajaj Finserv Limited
27,541450,Adani Green Energy Limited
28,532921,Adani Ports and Special Economic Zone Ltd
29,533278,Coal India Limited
30,500790,Nestle India Ltd.
31,507685,"Wipro  Ltd.,"
32,532898,POWER GRID CORPORATION OF INDIA LIMITED
33,500520,Mahindra & Mahindra Ltd.
34,532977,Bajaj Auto Limited
35,530965,Indian Oil Corporation Ltd.
36,533096,Adani Power Limited
37,500228,JSW Steel Limited
38,541154,Hindustan Aeronautics Limited
39,532868,DLF LIMITED
40,543940,Jio Financial Services Limited
41,500470,TATA STEEL LIMITED
42,540180,Varun Beverages Limited
43,543257,Indian Railway Finance Corporation
44,540005,LTIMindtree Limited
45,500550,"Siemens Ltd.,"
46,540719,SBI Life Insurance Company Limited
47,500300,Grasim Industries Ltd
48,500331,Pidilite Industries Ltd.
49,500188,"Hindustan Zinc Ltd.,"
50,500049,"Bharat Electronics Ltd.,"
51,540777,HDFC LIFE INSURANCE COMPANY LIMITED
52,532810,Power Finance Corporation Ltd
53,543320,Zomato Limited
54,532134,Bank Of Baroda
55,500440,Hindalco Industries Ltd.
56,532755,Tech Mahindra Limited
57,500251,Trent Ltd [Lakme Ltd]
58,539448,InterGlobe Aviation Limited
59,500825,"Britannia Industries Ltd.,"
60,532187,IndusInd Bank Ltd.
61,532461,Punjab National Bank
62,532424,Godrej Consumer Products Ltd.
63,539254,Adani Energy Solutions Limited
64,500400,Tata Power Co. Ltd
65,500547,"Bharat Petroleum Corpn. Ltd.,"
66,532955,REC LIMITED
67,500087,"Cipla Ltd.,"
68,532155,Gail (India) Ltd.
69,500002,ABB India Limited
70,500425,Ambuja Cements Ltd.
71,505200,Eicher Motors Ltd.
72,543287,Macrotech Developers Limited
73,500295,Vedanta Limited
74,500800,TATA CONSUMER PRODUCTS LIMITED
75,542066,ADANI TOTAL GAS LIMITED
76,532388,Indian Overseas Bank
77,532477,Union Bank of India
78,500124,"Dr. Reddy's Laboratories Ltd.,"
79,532488,Divi's Laboratories Ltd.
80,511243,Cholamandalam Investment and Finance Company Ltd
81,500387,"Shree Cements Ltd.,"
82,500096,Dabur India Ltd.
83,532343,TVS Motor Company Ltd.
84,532483,Canara Bank
85,500490,Bajaj Holdings & Investment Limited
86,517354,Havells India Limited
87,508869,"Apollo Hospitals Enterprises Ltd.,"
88,511218,Shriram Finance Limited
89,543904,Mankind Pharma Limited
90,500182,Hero MotoCorp Limited
91,500116,IDBI Bank Ltd
92,500420,Torrent Pharmaceuticals Ltd.
93,532321,Zydus Lifesciences Limited
94,532432,United Spirits Limited
95,533148,JSW Energy Limited
96,540133,ICICI Prudential Life Insurance Company Limited
97,532286,Jindal Steel & Power Ltd
98,533098,NHPC Limited
99,540716,ICICI Lombard General Insurance Company Limited
100,542652,Polycab India Limited
101,500530,Bosch Ltd
102,517334,Samvardhana Motherson International Limited
103,541729,HDFC Asset Management Company Limited
104,500103,"Bharat Heavy Electricals Ltd.,"
105,503806,"SRF Ltd.,"
106,543220,Max Healthcare Institute Limited
107,500850,Indian Hotels Co. Ltd
108,542830,Indian Railway Catering & Tourism Corporation Ltd
109,500093,CG Power and Industrial Solutions Limited
110,543066,SBI CARDS AND PAYMENT SERVICES LIMITED
111,532822,VODAFONE IDEA LIMITED
112,540762,Tube Investments of India Ltd
113,531642,Marico Limited
114,500830,"Colgate-Palmolive (India) Ltd.,"
115,532648,Yes Bank Ltd.
116,532777,Info Edge(India) Ltd.
117,509480,Berger Paints India Ltd
118,500257,Lupin Ltd
119,500480,"Cummins India Ltd.,"
120,532725,Solar Industries India Limited
121,534816,INDUS TOWERS LIMITED
122,532814,Indian Bank
123,500104,Hindustan Petroleum Corporation Ltd
124,524804,Aurobindo Pharma Ltd.
125,526371,NMDC Ltd
126,533150,Godrej Properties Limited
127,539437,IDFC FIRST BANK LIMITED
128,539523,Alkem Laboratories Limited
129,533179,Persistent Systems Limited
130,540755,General Insurance Corporation of India
131,533398,MUTHOOT FINANCE LIMITED
132,532505,UCO Bank
133,532149,Bank of India
134,532667,SUZLON ENERGY LTD.
135,500290,"M.R.F. Ltd.,"
136,523642,PI Industries Limited
137,500459,Procter & Gamble Hygiene & Health Care Ltd.
138,540115,L&T Technology Services Limited
139,500368,Patanjali Foods Limited
140,500493,Bharat Forge Ltd
141,500488,Abbott India Ltd.
142,532466,Oracle Financial Services Software Limited
143,509930,"Supreme Industries Ltd.,"
144,531344,Container Corporation Of India Ltd.
145,532779,TORRENT POWER LIMITED
146,532830,ASTRAL LIMITED
147,523457,Linde India Limited
148,500483,Tata Communications Limited
149,500477,"Ashok Leyland Ltd.,"
150,533273,OBEROI REALTY LIMITED
151,500408,Tata Elxsi Ltd
152,533106,Oil India Limited
153,500113,"Steel Authority of India Ltd.,"
154,532508,Jindal Stainless Limited
155,532885,Central Bank of India
156,505790,Schaeffler India Limited
157,502355,"Balkrishna Industries Ltd.,"
158,543994,JSW Infrastructure Limited
159,542649,Rail Vikas Nigam Limited
160,543384,FSN E-Commerce Ventures Limited
161,526299,Mphasis Limited
162,540691,Aditya Birla Capital Ltd
163,532754,GMR AIRPORTS INFRASTRUCTURE LIMITED
164,532478,United Breweries Ltd.
165,533274,Prestige Estates Projects Limited
166,544028,Tata Technologies Limited
167,503100,"The Phoenix Mills Ltd.,"
168,543458,Adani Wilmar Limited
169,540611,AU Small Finance Bank Limited
170,544162,Bharti Hexacom Limited
171,500410,ACC Ltd
172,543390,PB Fintech Limited
173,533758,APL Apollo Tubes Limited
174,543237,Mazagon Dock Shipbuilders Limited
175,533206,SJVN LIMITED
176,542651,KPIT Technologies Ltd
177,532827,Page Industries Ltd.
178,500411,Thermax Ltd.
179,512070,UPL Limited
180,533519,L&T Finance Limited
181,542216,DALMIA BHARAT LIMITED
182,540699,Dixon Technologies (India) Limited
183,532539,UNO Minda Limited
184,532525,Bank of maharashtra
185,543278,Kalyan Jewellers India Limited
186,544026,Indian Renewable Energy Development Agency Limited
187,543396,One 97 Communications Limited
